var,mean
x001,0.7351931484478635
x002,0.7342883863994807
x004,0.7337551707084699
x005,0.7351026392996051
x006,0.7348801626324146
x007,0.7347386447772102
x008,0.7344062222877866
x009,0.7342851355708254
x010,0.7346433080942086
x011,0.7339813665088863
x012,0.7345141397879541
x013,0.7341632916163456
x014,0.7350117325464082
x015,0.7346224249236747
x016,0.7364468710654298
x017,0.7301850972930276
x018,0.735233917833255
x019,0.7356268116633246
x020,0.7363104202521107
x021,0.7346304637994767
x022,0.7338432509554584
x023,0.7352143674530788
x024,0.7354901386329488
x025,0.73532834131243
x026,0.734117093141707
x027,0.7366414439571104
x028,0.7356971141137758
x029,0.7341736491835931
x030,0.7349006974301503
x031,0.7326795938948126
x032,0.7352722820466567
x033,0.7341449145865051
x034,0.7344881045246632
x035,0.7350625559398319
x036,0.7356245910486081
x037,0.7346218867521376
x038,0.7352726345646351
x039,0.7352749795975905
x040,0.7343265769685076
x041,0.7351406361489738
x042,0.734815386616644
x043,0.735861945239523
x044,0.7347333168343123
x045,0.734949420270077
x046,0.7348134292361147
x047,0.7298331684492017
x048,0.7336327138994382
x049,0.7361011699019311
x050,0.7343817526001996
x051,0.7354803075589788
x052,0.7319912780502441
x053,0.7353160465737166
x054,0.7353581939014332
x055,0.7344518628203034
x056,0.7345794292894777
x057,0.7351967163227369
x058,0.7354424158628657
x059,0.7339285427816894
x060,0.7358723060955691
x061,0.7356628671769252
x062,0.7348032425880873
x063,0.735164710643633
x064,0.7366538599027393
x065,0.7351100490052356
x066,0.7363109531335184
x067,0.7326679949862074
x068,0.7351187286095485
x069,0.7345898924300593
x070,0.7352820296776841
x071,0.7348195191874285
x072,0.7345612341372875
x073,0.734716484021501
x074,0.7341768221999063
x075,0.7355577956118862
x076,0.7357959931072088
x077,0.7343893929491796
x078,0.7346487626886606
x079,0.7348116854484207
x080,0.7348271725572966
x081,0.7346768277751424
x082,0.7357508996893994
x083,0.7350727772822347
x084,0.734105111599847
x085,0.734863167817772
x086,0.7345487852203473
x087,0.7346331927818248
x088,0.7352082143497052
x089,0.7342496377624199
x090,0.735062799529689
x091,0.7348041182433533
x092,0.7315693830331519
x093,0.7357867297104994
x094,0.7356400623484197
x095,0.7338473073983707
x096,0.734730711493439
x097,0.7343361493717863
x098,0.7352382489466143
x099,0.734117986049773
x100,0.7353513981899368
x101,0.7341388995660814
x103,0.7362083286399916
x104,0.7353983199931747
x106,0.73486165208101
x107,0.7353254302133212
x108,0.734986990490563
x109,0.733703990550123
x110,0.7346014430788581
x112,0.7347848524408942
x113,0.7353928997308251
x115,0.7353444494914326
x116,0.7349740326996682
x117,0.7352707228247242
x119,0.7350256682836985
x120,0.7348413886962898
x121,0.7349730583316855
x122,0.7355458986861694
x123,0.734181420013331
x124,0.7355419002284468
x125,0.7355240333900648
x126,0.7354974806713891
x127,0.7355621453082846
x128,0.7357466450137415
x129,0.7352967629504948
x130,0.7343400428880856
x131,0.7337680705109637
x132,0.73671627238803306
x133,0.7345509991935937
x134,0.7348572052467719
x135,0.7354098252185243
x136,0.7337524187193764
x137,0.7353701892897779
x138,0.7345152871731021
x139,0.7360722967709044
x140,0.7351455121785314
x141,0.7352769447797314
x142,0.7349617376671855
x143,0.7342427511201137
x144,0.7349889316776111
x145,0.7341916653304509
x146,0.7348162362496682
x147,0.7359891031980619
x148,0.7352117786127021
x149,0.7346769234779587
x150,0.7353352746190832
x151,0.7326263570481788
x152,0.7343353982809678
x153,0.735128142708212
x154,0.7342245904962921
x155,0.7366333536715453
x156,0.7350560133558891
x157,0.7342855307600121
x158,0.7342651603772338
x159,0.7358520543485584
x160,0.7346115137950042
x161,0.7346157646662073
x162,0.7351272251733392
x163,0.7362485028427526
x164,0.7326978915179608
x165,0.7352253210806605
x166,0.735719992912568
x167,0.7348405849529813
x168,0.731772963017085
x169,0.732871526223311
x170,0.7345913809976029
x171,0.7345629685057308
x172,0.7349940703173607
x173,0.7352576142131886
x174,0.735649303649807
x175,0.7353044766440326
x176,0.7356960887424039
x177,0.7350498150377879
x178,0.7352575306720468
x179,0.7365814388582618
x180,0.7355026538341856
x181,0.7344365176559967
x182,0.7350227253900514
x183,0.7361716564733102
x184,0.7348804142363444
x185,0.7345549870907637
x186,0.7336693809782399
x187,0.7353177084411607
x188,0.7344424858732588
x189,0.734145552686855
x190,0.7350097557721653
x191,0.7355478873777619
x192,0.7337978149361701
x193,0.7345105786527679
x194,0.7344631886458094
x195,0.7352124368364475
x196,0.7353945737477129
x197,0.7330790419151528
x198,0.7349936264818373
x199,0.7362065560831799
x200,0.7353884437263801
x201,0.7341297005722646
x202,0.7362647860625917
x203,0.7348488857491754
x204,0.7341542841096208
x205,0.7352310364169945
x206,0.734253821710058
x207,0.734331180062471
x208,0.73545766107758
x209,0.7351627990049637
x210,0.7343866930652722
x211,0.7359441348304858
x212,0.7344022935025667
x213,0.7349636374078933
x214,0.7349196075811396
x215,0.7362347748976391
x216,0.7353350283474163
x217,0.7352558861786809
x218,0.7359373297160736
x219,0.7353940433006755
x220,0.7357714105271157
x221,0.7358647697092785
x222,0.7356005210386314
x223,0.7347714497794228
x224,0.7348401679673724
x225,0.734143810448311
x226,0.7355413985596067
x227,0.7339503941604927
x228,0.7357225440099157
x229,0.7350586651141552
x230,0.7358547078166507
x231,0.7345384932338258
x232,0.7340642111043939
x233,0.7356596920815637
x234,0.735417812744559
x235,0.7346728609668876
x236,0.7354826871585809
x237,0.7352878351357062
x238,0.736011182368315
x239,0.7354716605958896
x240,0.7353072274964536
x241,0.7359813920677184
x242,0.7350186829884704
x243,0.7350218571725018
x244,0.7350316867145986
x245,0.73473907627473
x246,0.7362001860370581
x247,0.7359176907592782
x248,0.7340089831886475
x249,0.7346472382748367
x250,0.7375585120818121
x251,0.7358819175892138
x252,0.7348381759468291
x253,0.73497024571312
x254,0.7360358080205911
x255,0.7353633438887923
x256,0.7343142533250763
x257,0.735428491554634
x258,0.7363654573222695
x259,0.7343608642350578
x260,0.73525377447172
x261,0.7347081012531983
x262,0.7350013274386923
x263,0.7346726144966003
x264,0.734811059989896
x265,0.7343118366959719
x266,0.7350193001901784
x267,0.7349271835838653
x268,0.7349559958664873
x269,0.7346053415285996
x270,0.7349478921783654
x271,0.7354623912503021
x272,0.7336861862017423
x273,0.7348375686275492
x274,0.7344257835190713
x275,0.7346060392919548
x276,0.7357243305761214
x277,0.7352615093434897
x278,0.7349772980592254
x279,0.7350045627629822
x280,0.7351173624287298
x281,0.7355166472688272
x282,0.7355924774176866
x283,0.7352609014621483
x284,0.7324697319220063
x285,0.7356453503713325
x286,0.7343890702002939
x287,0.7357958097023476
x288,0.731690934981667
x289,0.7329106327491562
x290,0.7352240434653291
x291,0.7355467779636217
x292,0.7346372696391892
x293,0.7348795202905997
x294,0.7352481604917713
x295,0.7360810901222691
x296,0.7353010636145942
x297,0.735396146195928
x298,0.7363906012572974
x299,0.7346612176706233
x300,0.734655326118269
x301,0.7345019845110825
x302,0.7334789535488164
x303,0.7349145890666856
x304,0.7344350743245712
x305,0.7354606928381925
x306,0.7346857612309027
x307,0.7362819529760245
x308,0.7360281527043763
x309,0.7346337337410944
x310,0.7356539858552386
x311,0.736000183333603
x312,0.7353117477649725
x313,0.7347364859293282
x314,0.7355610173190296
x315,0.7360847027673704
x316,0.735292560607219
x317,0.7350414354271027
x318,0.7346809629100667
x319,0.735156450949458
x320,0.7351028907762427
x321,0.7357199505455181
x322,0.7352953401862459
x323,0.7349405867941258
x324,0.7349974441571914
x325,0.7348778662817643
x326,0.7346565153588064
x327,0.7344093059344058
x328,0.7345790511917469
x329,0.7357941877256007
x330,0.7347988780736296
x331,0.7348970942461066
x332,0.7345721783175406
x333,0.7353818997924482
x334,0.7336289950769259
x335,0.735161290736045
x336,0.7336741225634985
x337,0.7294065441232641
x338,0.7355244426815447
x339,0.7350552472299768
x340,0.7351657545408398
x341,0.7354703541939841
x342,0.7349561301281686
x343,0.7357741289999833
x344,0.7352211417764984
x345,0.7350531504880041
x346,0.735064785678309
x347,0.7358344982457106
x348,0.7353085215182575
x349,0.7355669852032183
x350,0.7354564559740991
x351,0.7354134426312735
x352,0.7351409209795333
x353,0.7351132329287566
x354,0.7331216410467896
x355,0.7350850370925489
x356,0.7359002547670661
x357,0.7356206305938714
x359,0.7352427537475416
x360,0.7352985341828309
x361,0.7358037055190865
x362,0.7359824386069579
x363,0.7354262041002739
x364,0.7352996752488333
x365,0.734570894532654
x366,0.7232235133203719
x367,0.7346658554155778
x368,0.7351981352533481
x370,0.7342089672117594
x371,0.735224934684547
x372,0.7359333615367439
x373,0.734905312949211
x374,0.7354364670597752
x375,0.7355742480384866
x376,0.7353659160506487
x377,0.7353397961185754
x378,0.7339653448551414
x379,0.735415475522228
x380,0.738816250180387
x381,0.735163150198733
x382,0.7357078645723556
x383,0.7349221947644817
x384,0.7344997646453004
x385,0.7350098661177079
x386,0.7349995991973232
x387,0.7338649041920048
x388,0.735817801756459
x389,0.7348871841233281
x390,0.732198935879411
x391,0.7348067221169807
x392,0.7348891714277838
x393,0.7349163016982937
x394,0.7351181526795331
x395,0.7347933956423064
x396,0.7359337570164728
x397,0.7344383436431818
x398,0.7347911873143388
x399,0.7339169274778502
x400,0.7352353267034826
x401,0.7350728123084642
x402,0.736137589316696
x403,0.7347874201693086
x404,0.7318213614352023
x405,0.7347842092597235
x406,0.7347634776855893
x407,0.7341272576041682
x408,0.7348834891165944
x409,0.7351699586015866
x410,0.7359641679113856
x411,0.7353584223211278
x412,0.7340813827998358
x413,0.7337808920685078
x414,0.7356738810603641
x415,0.7337736270039942
x416,0.7337813647687509
x417,0.7353951721683495
x418,0.7344087180859729
x419,0.7349621678702152
x421,0.7346356743484654
x422,0.7352422832540497
x423,0.7340524911862834
x424,0.7342786806253007
x425,0.7347182235600935
x426,0.7345579890630733
x427,0.73470057726823
x428,0.7345491642014716
x429,0.7351168949023311
x430,0.7343869846873999
x431,0.7356162382842234
x432,0.7374669337803278
x433,0.7347662066830338
x434,0.7353424757325389
x435,0.7361269785429755
x436,0.7344605425525926
x437,0.7360509524584443
x438,0.7352486223780649
x439,0.7358792805555953
x440,0.7353525308454283
x441,0.7346323414150366
x442,0.7347226577267704
x443,0.7351630920112568
x444,0.7346935427409388
x445,0.7345326669129736
x446,0.7355234126949058
x447,0.73451324739142
x448,0.7348600639738124
x449,0.7343570363721658
x450,0.734577101090925
x451,0.7352754227161088
x452,0.736100378263029
x453,0.7352715458446298
x454,0.7304049253945587
x455,0.7347346329096118
x456,0.7348300721541452
x457,0.7344301989946138
x458,0.7354437345171442
x459,0.7343707427072602
x460,0.7353954769943488
x461,0.7347046369652619
x462,0.7343817176435702
x463,0.7349469071503999
x464,0.7346677535544717
x465,0.7354782552103993
x466,0.7341387973823791
x467,0.7349014224112773
x468,0.7346296361479673
x469,0.7350095274548051
x470,0.7355658397784839
x471,0.7349032563068872
x472,0.7352128650581494
x473,0.7362192663748686
x474,0.7345716005603923
x475,0.7321153970871257
x476,0.7345258559177585
x477,0.734974669001133
x478,0.7350666160023906
x479,0.7347726892203538
x480,0.7322459447800924
x481,0.736219962194347
x482,0.7348081555797696
x483,0.7350551936222213
x484,0.73560450131325406
x485,0.735386830980251
x486,0.7349384019979854
x487,0.7333200450838653
x488,0.7344515226606996
x489,0.7350906715387684
x490,0.7343443783391594
x491,0.7342263403372408
x492,0.7336515818839086
x493,0.7350565758826839
x494,0.7344129839632757
x495,0.7345389592913737
x496,0.7344416334055369
x497,0.7355225738118986
x498,0.734689665234819
x499,0.735304798373262
x500,0.7337757255427734
x501,0.7353531974906882
x502,0.7342367881847696
x503,0.7349627335809917
x504,0.7360688049537781
x505,0.7344677161285991
x506,0.7287638252045222
x507,0.735158270505946
x508,0.7355885079580033
x509,0.735528857180407
x510,0.7339318564656068
x511,0.7354587570113644
x512,0.7346277962887079
x513,0.7348201885490123
x514,0.7350611698115461
x515,0.7352334400520776
x517,0.7347462009540907
x518,0.7351462962463404
x519,0.7353832280904828
x520,0.7346245700827481
x521,0.7349372188240231
x522,0.7341832820844097
x523,0.7345784638875524
x524,0.7340870464890956
x525,0.7344617321746506
x526,0.7343888865112908
x527,0.7377293747748824
x528,0.7362542454991116
x529,0.7354673099949347
x530,0.7342301388182864
x531,0.7361626503991608
x532,0.729650620570604
x533,0.7352511742934521
x534,0.7359176340255835
x535,0.7343783037174976
x536,0.734999615109203
x537,0.7349290854316805
x538,0.7349060817827278
x539,0.7346854179815013
x540,0.7338910946341562
x541,0.7344937785967812
x542,0.7347477454655695
x543,0.7350328742759814
x544,0.7343383646856652
x545,0.7337360517412503
x546,0.7346025999786644
x547,0.7345877071702159
x548,0.7352638576888656
x549,0.7352664354362323
x550,0.7344175496456365
x551,0.7350584940427501
x552,0.735264405944468
x553,0.7350909479473251
x554,0.7351205167342731
x555,0.7348305845981921
x556,0.7348010646524158
x557,0.7344900858766189
x558,0.7353153197264674
x559,0.7354503850671883
x560,0.7348655177281183
x562,0.7362515706100007
x563,0.7337290248417434
x564,0.7345282784060222
x565,0.7341577252413504
x566,0.7349761232590706
x568,0.7349678609332079
x569,0.7352963677954589
x570,0.7362957424951643
x571,0.7359117717707613
x572,0.7354751727971529
x573,0.7353680042360735
x574,0.7358250121519523
x575,0.7350993576601317
x576,0.7347164142168323
x577,0.735435370099359
x578,0.7353758544897393
x579,0.7336274335345745
x580,0.7345694087370768
x581,0.734661522440143
x582,0.7339976182210394
x583,0.7343075206957651
x584,0.7346972522640005
x586,0.7342247051406872
x587,0.7357525877153411
x588,0.7352896630492725
x589,0.735663431932862
x590,0.7344092193249604
x592,0.7349750226977404
x593,0.7347506445883101
x594,0.735112402775274
x595,0.7344464526318986
x596,0.7347602050465094
x597,0.734796475662255
x598,0.7329884371191288
x599,0.7342825187116254
x600,0.7346145708462642
x601,0.7351578368152689
x602,0.7358997444439219
x603,0.7349229580149538
x604,0.7348874295425125
x605,0.734874513543119
x606,0.7354923655147773
x607,0.7348883129797943
x608,0.7353677126888013
x609,0.7351439994934442
x610,0.7352973421428989
x611,0.7339564369856677
x612,0.7359219905819345
x613,0.7342343869027774
x614,0.7351841138127992
x615,0.7358509570923317
x616,0.7352584871972206
x617,0.7348506405196028
x618,0.7356278722143058
x620,0.7351469359000495
x621,0.7350657286916576
x622,0.7296109674391601
x623,0.7352830489635543
x624,0.7352004334940382
x625,0.735289509285586
x626,0.7352064351484873
x627,0.7345612759450993
x628,0.7348009585088084
x629,0.7357852966922279
x630,0.7355126570272288
x631,0.7357521289944833
x632,0.7334479851285276
x633,0.7359729041698345
x634,0.7339414966177751
x635,0.7350676048368672
x636,0.7344944838279934
x637,0.7351079802714723
x638,0.7352692682016244
x639,0.7347498768851136
x640,0.7309747236516987
x641,0.7344649545134533
x642,0.7333658106531629
x643,0.7345732267952324
x644,0.7346331091119536
x645,0.7357584657899424
x646,0.7301308486129491
x647,0.7340880952005084
x648,0.7355260983607627
x649,0.7355864083615994
x650,0.7350900496699615
x651,0.7353642986420453
x653,0.7358350497750016
x655,0.7346212203770328
x656,0.733330700632949
x657,0.7355490940028419
x658,0.7351123517531346
x659,0.734247571666889
x660,0.7344315508447791
x661,0.7345899997214678
x662,0.7346717751531544
x663,0.7349976698317199
x664,0.7304163513782297
x665,0.7346998542842669
x666,0.7350864925557004
x667,0.7342330463713217
x668,0.7329067601833733
x669,0.735009461866697
x670,0.7359711979056822
x671,0.7354869250837289
x672,0.7349507746875336
x673,0.7347115210469203
x674,0.7349963671739751
x675,0.7352611859157794
x676,0.7340366435098529
x677,0.7345664269146155
x678,0.734739383657615
x679,0.7344000818803732
x680,0.7342079382335684
x681,0.7340507251764754
x682,0.7340805165843913
x683,0.735251667862948
x684,0.7343498099927184
x686,0.7351841207515438
x687,0.7351713167162867
x688,0.7313119703783546
x689,0.7350334503110021
x690,0.7361821105186112
x691,0.7350549816844619
x692,0.7360135286041042
x693,0.7349572052468367
x694,0.7359398375993156
x695,0.7351627660915515
x697,0.735015828392093
x698,0.736451552355618
x699,0.7351904408872667
x700,0.7361220948477141
x701,0.7342320502309944
